name,markerColor
Oak (Black),#280100
Oak (Bur),#D73D86
Oak (Chinqeapin) ,#0F5122
Oak (Pin),#FCD513
Oak (Red),#2E76E7
Oak (White),#10E89E
Oleaster,#9AAB7B
Olive,#3445EB
,#AEFA47
Olive (Russian) ,#CA67B8
Orange,#D9128A
Ornamental Grass ,#979D66
Osage Orange,#C9E337
Paw Paw,#70A3A7
Paper Birch,#DEBA40
Peach,#D319A7
Pear,#CFCB67
Pear (Bradford) ,#2A3593
Pecan,#91F789
Persimmon,#5D3B0E
Pignut Hickory ,#16340D
Pin Oak,#BA066D
Pinapple,#23D45F
Pine,#EA28DC
Pine (Austrian) ,#56AF10
Pine (Jack),#6B76A9
Pine (Muhgo),#DF57CC
Pine (Red),#277E39
Pine (Scotch),#F2C06E
Pine (White),#F61004
Pine (Bristlecone),#1DA84A
Plum,#53CD48
Plum (Purple),#C3777E
Poplar,#94A9D3
Poplar (Lombardy) ,#F3F7A0
Poplar (tulip),#8EF82D
Poplar (Yellow) ,#9FE0B9
Privet,#C1AA9B
Prunus Unknown,#2E4EB6
Pyrocantha,#F34C96
Raintree,#FAC7AF
Red Bud,#5546B4
Redbud,#FF3EC0
Redwood,#6D16BB
Rhododendron,#DF746D
Rose,#B795CF
Rose of Sharon ,#3B92DC
Sassafras,#99A928
Scattered Brush and Wood,#FF3E6E
Serviceberrry,#4529DB
Silver bell,#6AEC22
Silver Maple,#E46D31
Smoke Tree,#7BB3CC
Soapberry,#B4E9C6
Sourwood,#43BE72
Spindle tree,#237BC8
Spirea,#3AC9C2
Spruce,#5159EE
Spruce (Alberta)  ,#8682B8
Spruce (Birds Nest),#5E77C7
Spruce (Blue),#7FD53F
Spruce (Brown) ,#28DE1E
Spruce (Green),#3C5BB8
Spruce (Norway),#63558B
Stump,#3D0EB2
Sugar Maple,#5E24CA
Sumac,#994051
Sweet gum,#132368
Sycamore,#BDD25E
Tamarack,#026BB3
Tamarind,#6BB3D2
Trailing Arbutus  ,#323271
Tree of Heaven,#DB775A
Tricolor Beech,#49A1BE
Tulip tree,#78A493
Unidentified Species ,#9B9D66
Unknown,#C7CEC1
Unspecified,#497D81
Various Bushes ,#C9F4AE
Various Species,#0201E7
General Clearance,#8D0184
Various Trees,#6CF5DD
Viburnum,#871E2E
Vine,#CCD3C3
Walnut,#258AE7
Walnut (Black),#0CF578
Walnut (English) ,#1E0ECE
Weeping Lace Leaf,#C9612E
Weigela,#C7D715
Wheeping Cedar,#65CE12
Wheeping Cherry,#399472
Willow,#AE17F1
Willow (Pussy),#35E2F3
Willow (Weeping),#5A8981
Willow Tree,#AD8B83
Winterberry,#61ED6C
Wisteria,#137625
Witch hazel,#8C296D
Yellow-Poplar Tulip Tree ,#F71349
Yellowwood,#89EDB5
Yew,#8BD2EA
Yew (Compact),#BDFD36
Yew (Upright),#1F2FEA
Yew Hedge,#61B445
Zelkova,#A0A414
